soil_moisture,humidity,temperature,crop_type,irrigation_needed,water_required
30.2,65.8,30.6,rice,1,19.5
45.4,59.7,26.0,rice,0,0.0
23.2,37.1,35.1,rice,1,33.5
42.3,93.0,31.6,cotton,0,0.0
20.0,54.3,43.4,corn,1,30.1
13.0,70.2,18.9,soybean,1,38.0
10.8,55.9,19.6,soybean,1,42.3
25.8,27.9,29.2,soybean,1,12.3
35.6,67.8,18.0,wheat,0,0.0
46.6,61.4,43.6,rice,0,0.0
35.3,49.9,23.4,cotton,0,0.0
41.3,51.2,20.5,rice,0,0.0
56.9,56.0,38.2,rice,0,0.0
23.0,49.5,41.6,soybean,1,18.1
29.8,72.3,28.8,wheat,0,0.4
10.4,39.1,28.1,rice,1,59.3
44.1,97.2,43.9,soybean,0,0.0
25.1,85.5,26.4,cotton,0,5.8
47.7,79.3,36.1,soybean,0,0.0
28.1,99.2,15.2,wheat,0,3.9
13.2,76.9,37.5,cotton,1,29.6
46.2,89.2,41.1,corn,0,0.0
13.6,45.9,25.8,soybean,1,36.9
41.4,28.5,39.6,wheat,0,0.0
27.0,69.7,25.1,cotton,0,2.1
18.7,34.9,23.1,corn,1,32.6
30.2,61.6,22.6,wheat,0,0.0
11.5,89.9,38.9,cotton,1,33.0
28.5,28.1,21.1,cotton,0,0.0
55.9,62.1,25.8,rice,0,0.0
25.1,71.5,40.1,wheat,0,9.8
44.0,58.7,33.7,rice,0,0.0
21.9,77.3,17.4,rice,1,36.2
30.6,72.2,32.3,rice,1,18.7
22.1,66.1,32.4,wheat,1,15.9
24.2,21.0,16.0,soybean,1,15.5
45.2,60.1,24.4,cotton,0,0.0
46.0,91.9,18.3,rice,0,0.0
24.6,74.8,37.3,wheat,1,10.7
36.4,25.1,44.5,cotton,0,0.0
13.3,37.4,40.4,soybean,1,37.4
15.2,50.1,37.9,rice,1,49.6
29.3,64.0,37.9,rice,1,21.4
48.1,75.5,34.2,corn,0,0.0
48.3,41.1,35.5,cotton,0,0.0
53.0,80.7,28.4,cotton,0,0.0
57.7,67.4,34.4,corn,0,0.0
39.1,80.6,23.3,cotton,0,0.0
59.9,79.6,22.8,rice,0,0.0
48.8,37.2,30.6,rice,0,0.0
41.5,23.6,37.5,corn,0,0.0
47.4,66.3,22.2,cotton,0,0.0
14.3,36.2,25.2,corn,1,41.5
42.7,21.5,28.3,corn,0,0.0
31.2,79.3,27.7,wheat,0,0.0
31.5,53.9,40.7,soybean,1,1.0
13.0,31.3,15.8,cotton,1,29.9
40.1,51.3,43.8,wheat,0,0.0
52.7,27.0,33.8,wheat,0,0.0
31.2,93.9,44.5,soybean,0,1.6
11.7,65.9,31.8,rice,1,56.6
59.0,93.3,27.5,cotton,0,0.0
39.3,75.9,24.0,rice,0,1.3
15.9,39.1,42.3,rice,1,48.2
10.7,86.8,26.6,cotton,1,34.6
27.7,46.2,30.3,wheat,1,4.6
18.2,35.3,17.9,wheat,1,23.5
39.3,84.8,27.9,soybean,0,0.0
22.4,32.0,41.5,corn,1,25.3
28.3,33.7,28.5,rice,1,23.4
52.4,26.0,34.0,rice,0,0.0
56.9,83.0,44.9,soybean,0,0.0
40.4,47.6,16.6,corn,0,0.0
40.9,23.1,27.3,corn,0,0.0
28.2,64.4,38.4,cotton,0,0.0
11.3,64.2,15.8,rice,1,57.3
55.1,92.7,34.2,wheat,0,0.0
45.8,20.3,34.9,wheat,0,0.0
41.4,51.2,33.6,cotton,0,0.0
37.0,99.2,39.0,rice,0,6.0
42.1,65.9,41.6,rice,0,0.0
20.6,37.9,42.5,wheat,1,18.7
34.5,60.0,38.5,wheat,0,0.0
28.2,58.4,33.6,soybean,1,7.6
55.2,55.8,25.6,rice,0,0.0
34.6,81.8,26.4,rice,1,10.9
38.8,79.7,22.1,soybean,0,0.0
24.9,53.7,34.2,rice,1,30.2
36.7,97.5,36.1,cotton,0,0.0
41.9,28.7,18.1,corn,0,0.0
26.0,93.8,32.0,corn,1,18.0
37.1,60.1,44.1,soybean,0,0.0
13.9,32.4,42.0,rice,1,52.2
46.7,35.3,32.4,soybean,0,0.0
36.6,35.0,40.9,soybean,0,0.0
50.6,61.2,24.9,cotton,0,0.0
18.7,65.5,27.6,wheat,1,22.6
12.0,52.9,36.3,rice,1,56.1
10.1,58.1,25.4,corn,1,49.8
25.1,33.6,25.4,rice,1,29.9
48.9,98.1,25.9,cotton,0,0.0
18.8,66.3,32.9,wheat,1,22.4
33.3,43.7,37.5,wheat,0,0.0
54.4,98.6,29.3,wheat,0,0.0
42.2,97.0,32.6,corn,0,0.0
52.2,65.5,40.6,soybean,0,0.0
20.5,81.2,40.0,soybean,1,23.0
23.5,42.7,21.6,corn,1,23.0
13.0,30.3,33.5,rice,1,54.0
28.4,27.3,20.5,cotton,0,0.0
11.7,92.9,37.6,soybean,1,40.5
15.1,35.8,31.7,corn,1,39.8
38.4,79.0,28.6,rice,0,3.1
22.6,35.9,41.8,corn,1,24.8
40.7,53.1,25.9,rice,0,0.0
56.2,47.7,17.4,wheat,0,0.0
19.3,69.2,26.8,soybean,1,25.5
17.1,46.3,18.7,corn,1,35.8
37.7,24.9,18.5,cotton,0,0.0
23.4,50.1,18.5,cotton,0,9.2
23.1,56.4,35.5,wheat,1,13.7
28.8,68.5,30.3,rice,1,22.4
15.3,79.1,33.4,soybean,1,33.4
57.3,33.8,30.0,rice,0,0.0
43.8,72.8,19.2,soybean,0,0.0
53.6,23.3,27.5,soybean,0,0.0
52.6,87.1,31.9,wheat,0,0.0
51.7,51.3,16.3,soybean,0,0.0
12.9,35.6,28.0,wheat,1,34.2
11.4,99.4,35.6,rice,1,57.3
53.9,97.1,39.4,corn,0,0.0
20.3,81.9,38.2,rice,1,39.3
54.7,78.4,40.8,rice,0,0.0
14.3,57.3,16.0,corn,1,41.5
25.8,71.4,33.6,rice,1,28.5
14.2,71.7,19.4,corn,1,41.6
48.8,66.0,18.6,wheat,0,0.0
18.8,43.5,24.7,corn,1,32.5
11.6,54.0,30.2,cotton,1,32.8
13.4,49.0,31.8,rice,1,53.1
16.1,86.5,34.9,rice,1,47.8
37.0,99.3,17.5,soybean,0,0.0
21.5,59.8,22.3,corn,1,27.1
54.9,34.4,18.7,soybean,0,0.0
46.5,48.8,39.9,soybean,0,0.0
49.9,28.8,24.8,rice,0,0.0
59.7,69.3,22.9,soybean,0,0.0
39.0,38.8,44.6,wheat,0,0.0
22.4,45.6,19.3,cotton,1,11.2
43.0,95.7,21.1,corn,0,0.0
37.7,90.5,39.4,corn,0,0.0
39.0,70.5,15.8,soybean,0,0.0
17.7,33.3,35.0,wheat,1,24.6
32.6,22.7,37.9,cotton,0,0.0
31.4,41.4,31.2,wheat,0,0.0
38.0,31.2,35.7,rice,1,4.0
58.8,44.2,38.8,rice,0,0.0
36.1,94.9,33.7,rice,0,7.8
20.6,20.1,39.6,soybean,1,22.9
14.7,72.9,45.0,wheat,1,30.6
21.6,62.2,38.6,soybean,1,20.8
12.9,42.2,31.9,wheat,1,34.2
16.8,40.9,39.2,cotton,1,22.4
54.2,61.1,20.9,cotton,0,0.0
42.6,25.9,37.7,corn,0,0.0
33.1,39.9,16.2,soybean,0,0.0
48.7,24.1,25.0,rice,0,0.0
52.5,36.4,38.6,rice,0,0.0
23.1,51.1,24.2,rice,1,33.7
32.6,64.2,21.8,rice,1,14.9
38.9,77.9,30.7,wheat,0,0.0
13.9,72.0,15.9,corn,1,42.1
32.7,70.1,42.1,rice,1,14.6
54.8,99.6,37.3,wheat,0,0.0
56.3,93.2,40.3,wheat,0,0.0
15.8,35.2,33.4,wheat,1,28.4
51.4,49.2,19.8,wheat,0,0.0
19.6,87.7,22.5,cotton,1,16.8
26.3,29.3,32.8,corn,1,17.3
53.8,63.4,38.7,soybean,0,0.0
13.5,24.1,22.2,cotton,1,29.1
19.8,61.9,16.3,soybean,1,24.4
46.3,34.1,15.4,wheat,0,0.0
33.4,39.7,23.7,corn,0,3.2
48.2,57.0,42.1,cotton,0,0.0
25.4,86.7,27.0,cotton,0,5.2
51.5,41.8,29.9,cotton,0,0.0
17.1,47.8,15.8,corn,1,35.8
35.5,22.7,18.4,corn,0,0.0
30.1,27.6,23.2,corn,0,9.8
25.9,41.0,37.9,cotton,1,4.2
33.5,40.3,19.5,wheat,0,0.0
19.1,30.6,18.3,corn,1,31.8
33.2,62.7,35.4,cotton,0,0.0
57.7,65.7,22.1,cotton,0,0.0
44.7,29.3,32.8,soybean,0,0.0
17.3,80.8,15.6,cotton,1,21.5
50.2,57.9,20.2,soybean,0,0.0
22.8,97.7,44.0,soybean,1,18.5
50.8,60.7,21.0,wheat,0,0.0
39.9,36.4,44.5,soybean,0,0.0
49.7,34.0,19.3,rice,0,0.0
23.3,23.0,22.6,rice,1,33.3
58.1,56.3,20.3,cotton,0,0.0
49.2,30.3,40.7,rice,0,0.0
24.2,45.3,29.1,cotton,0,7.7
38.3,24.9,35.6,cotton,0,0.0
59.8,90.0,33.5,cotton,0,0.0
51.6,96.0,33.1,wheat,0,0.0
58.8,71.4,21.6,corn,0,0.0
41.0,47.0,16.1,cotton,0,0.0
29.2,25.1,39.7,wheat,1,1.7
40.7,57.4,28.0,rice,0,0.0
13.7,46.6,28.2,wheat,1,32.5
12.0,51.6,38.0,cotton,1,31.9
14.8,66.4,26.6,cotton,1,26.3
13.5,28.8,38.4,corn,1,43.0
34.7,25.1,27.5,cotton,0,0.0
41.1,42.4,30.9,rice,0,0.0
47.5,97.3,19.6,corn,0,0.0
46.3,72.2,18.5,cotton,0,0.0
45.1,30.0,34.4,rice,0,0.0
32.6,30.4,19.4,rice,1,14.8
22.3,88.9,20.5,soybean,1,19.4
26.9,48.7,15.9,corn,1,16.3
16.5,90.3,22.6,rice,1,47.0
33.9,56.9,38.5,cotton,0,0.0
10.2,62.5,37.8,rice,1,59.7
18.9,72.2,41.5,cotton,1,18.2
47.4,44.9,40.3,cotton,0,0.0
27.6,63.7,34.1,soybean,0,8.7
10.0,35.3,21.7,corn,1,49.9
36.4,92.7,18.1,rice,0,7.2
40.3,86.4,37.5,soybean,0,0.0
24.7,52.6,44.7,cotton,1,6.6
44.8,54.5,21.2,soybean,0,0.0
45.9,93.3,42.7,wheat,0,0.0
19.6,30.7,17.9,wheat,1,20.7
16.7,30.7,44.0,corn,1,36.7
58.9,22.5,30.2,soybean,0,0.0
48.4,70.0,40.6,soybean,0,0.0
37.8,39.7,38.0,corn,0,0.0
29.6,83.1,16.3,rice,1,20.7
34.9,80.5,19.5,corn,0,0.2
54.1,89.5,28.0,rice,0,0.0
43.6,81.9,40.3,rice,0,0.0
32.9,88.8,37.3,soybean,0,0.0
17.0,60.5,17.2,cotton,1,21.9
13.6,22.0,24.9,rice,1,52.8
48.9,66.3,33.9,soybean,0,0.0
55.3,49.9,17.8,corn,0,0.0
33.9,54.6,42.6,cotton,0,0.0
32.0,65.3,33.6,soybean,0,0.0
57.0,58.3,26.6,cotton,0,0.0
43.3,46.7,36.6,wheat,0,0.0
46.3,26.6,27.2,corn,0,0.0
24.7,31.3,20.8,corn,1,20.6
53.0,64.2,27.1,rice,0,0.0
53.2,56.2,42.3,rice,0,0.0
52.1,75.8,41.6,cotton,0,0.0
25.2,66.0,41.9,wheat,0,9.5
20.0,21.2,28.3,soybean,1,24.0
57.4,32.4,16.2,soybean,0,0.0
11.1,88.6,17.6,soybean,1,41.8
47.3,99.6,27.6,cotton,0,0.0
55.9,60.1,23.4,soybean,0,0.0
32.3,64.2,25.8,rice,1,15.4
40.9,53.6,17.8,cotton,0,0.0
50.6,65.5,35.2,cotton,0,0.0
51.1,33.8,37.9,corn,0,0.0
52.1,32.4,43.2,soybean,0,0.0
51.2,57.0,20.5,rice,0,0.0
12.2,57.8,17.1,cotton,1,31.6
29.8,26.9,16.5,wheat,0,0.4
51.6,34.3,34.6,wheat,0,0.0
28.0,39.4,44.2,cotton,1,0.0
14.1,21.6,31.4,corn,1,41.9
15.1,41.2,26.9,wheat,1,29.8
44.1,94.0,34.1,cotton,0,0.0
38.8,81.3,26.4,rice,0,2.3
20.6,61.8,30.1,corn,1,28.7
16.3,75.2,34.0,rice,1,47.4
56.0,37.8,15.4,wheat,0,0.0
29.0,73.5,35.4,soybean,0,6.0
58.9,57.1,17.8,cotton,0,0.0
49.1,98.8,21.5,soybean,0,0.0
22.7,36.6,24.0,soybean,1,18.5
21.0,80.0,28.4,cotton,1,14.0
26.0,59.8,30.4,rice,1,28.0
49.5,67.0,33.9,rice,0,0.0
10.9,57.2,39.2,wheat,1,38.1
27.0,97.0,36.7,soybean,0,9.9
45.9,92.4,30.0,soybean,0,0.0
36.0,85.0,30.0,cotton,0,0.0
17.2,23.5,26.0,corn,1,35.7
32.6,30.6,37.9,corn,1,4.9
45.0,90.2,44.9,cotton,0,0.0
46.4,40.4,28.9,cotton,0,0.0
22.2,80.5,17.3,rice,1,35.7
51.8,81.2,30.0,corn,0,0.0
20.6,31.6,17.4,corn,1,28.7
20.6,91.5,41.4,wheat,1,18.8
36.4,94.9,20.6,rice,0,7.2
59.4,44.4,33.6,cotton,0,0.0
36.9,91.4,34.1,corn,0,0.0
44.4,24.6,29.8,rice,0,0.0
33.8,65.9,29.1,corn,0,2.3
54.3,56.0,39.3,corn,0,0.0
32.1,59.7,43.0,wheat,0,0.0
27.0,35.4,33.2,corn,1,16.0
31.3,49.2,35.6,soybean,1,1.3
38.5,49.4,44.8,rice,1,2.9
50.3,67.2,23.4,wheat,0,0.0
45.7,20.7,19.0,corn,0,0.0
42.4,64.3,24.2,rice,0,0.0
51.8,50.6,41.9,rice,0,0.0
32.0,75.1,39.9,soybean,0,-0.0
17.6,97.9,42.0,soybean,1,28.9
38.1,32.2,34.0,soybean,0,0.0
11.3,85.8,35.8,corn,1,47.4
50.2,30.8,43.2,wheat,0,0.0
32.3,95.6,30.5,soybean,0,0.0
53.0,29.1,35.3,wheat,0,0.0
44.0,88.9,39.4,corn,0,0.0
31.9,48.9,25.4,soybean,0,0.2
53.1,86.6,42.8,wheat,0,0.0
47.0,31.3,37.3,wheat,0,0.0
21.0,65.9,41.4,rice,1,38.0
22.3,90.1,37.6,soybean,1,19.4
14.4,54.4,15.3,corn,1,41.2
35.8,88.1,44.2,wheat,0,0.0
32.2,68.3,32.9,rice,1,15.6
54.5,74.9,43.0,corn,0,0.0
40.4,94.7,21.1,cotton,0,0.0
39.7,89.0,23.8,cotton,0,0.0
50.6,81.3,41.7,wheat,0,0.0
14.6,20.1,43.7,rice,1,50.8
13.0,80.6,29.3,corn,1,44.0
44.2,20.2,28.5,soybean,0,0.0
33.6,87.7,31.1,corn,0,2.8
56.5,90.6,44.4,rice,0,0.0
43.4,69.5,42.3,cotton,0,0.0
58.3,57.3,31.6,cotton,0,0.0
59.7,64.3,27.5,corn,0,0.0
39.3,73.2,36.7,soybean,0,0.0
49.9,85.3,35.5,corn,0,0.0
59.3,63.8,33.7,soybean,0,0.0
51.9,71.6,36.5,rice,0,0.0
30.9,55.0,19.1,corn,0,8.1
58.5,48.5,20.5,corn,0,0.0
43.0,54.1,34.7,corn,0,0.0
31.1,88.9,23.1,rice,1,17.7
14.9,26.1,44.1,cotton,1,26.1
54.0,60.7,37.0,wheat,0,0.0
58.4,47.4,42.5,soybean,0,0.0
53.1,31.6,42.4,cotton,0,0.0
20.6,98.8,33.5,corn,1,28.9
42.0,77.2,29.5,soybean,0,0.0
52.9,89.7,40.0,soybean,0,0.0
13.2,66.5,40.0,corn,1,43.7
51.8,44.9,15.3,cotton,0,0.0
35.7,87.4,40.2,wheat,0,0.0
12.0,62.0,44.5,corn,1,45.9
45.7,32.2,29.6,rice,0,0.0
13.3,49.7,37.5,soybean,1,37.3
33.4,25.9,36.8,soybean,0,0.0
45.4,33.0,23.8,wheat,0,0.0
49.5,87.3,18.6,wheat,0,0.0
23.6,44.5,33.0,soybean,1,16.7
25.4,63.1,17.1,wheat,0,9.2
13.4,63.1,31.9,corn,1,43.3
14.3,99.4,30.1,corn,1,41.5
23.5,33.6,25.4,soybean,1,17.0
59.2,98.2,41.8,cotton,0,0.0
16.0,76.4,17.4,cotton,1,24.0
59.5,55.3,30.2,soybean,0,0.0
39.0,40.3,40.5,rice,1,2.0
28.8,63.1,29.0,corn,1,12.5
47.3,82.1,22.0,rice,0,0.0
18.8,23.3,34.1,wheat,1,22.3
39.5,25.9,38.5,soybean,0,0.0
17.8,58.8,40.0,cotton,1,20.5
33.0,34.7,16.6,wheat,0,0.0
40.9,48.5,22.9,cotton,0,0.0
36.0,57.8,31.1,wheat,0,0.0
57.5,53.4,27.1,rice,0,0.0
59.5,88.9,32.7,wheat,0,0.0
36.9,88.3,35.3,rice,0,6.1
